,hpoID,Acc_cv1,Acc_cv2,Acc_cv3,Acc_cv4,Acc_cv5,Acc_cv_Avg
0,0.0,93.07691955566406,89.3682632446289,92.91217803955078,91.67951202392578,90.90909576416016,91.58919372558594
1,1.0,90.15384674072266,92.75809478759766,90.6009292602539,90.75501251220703,89.67642974853516,90.78886260986329
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,18.0,92.15384674072266,90.90909576416016,92.4499282836914,75.50077056884766,91.2172622680664,88.44618072509766
19,19.0,54.153846740722656,85.6702651977539,56.85670471191406,83.2049331665039,80.89368438720703,72.15588684082032
20,20.0,90.61538696289062,85.51618194580078,87.05701446533203,83.05084991455078,90.13867950439453,87.27562255859375
21,21.0,54.46154022216797,56.24037170410156,54.23728942871094,53.77503967285156,45.91679763793945,52.9262077331543
22,22.0,92.0,89.67642974853516,91.2172622680664,90.29276275634766,91.67951202392578,90.973193359375
23,23.0,92.15384674072266,87.21109771728516,88.44376373291016,90.6009292602539,89.21417999267578,89.52476348876954
24,24.0,59.38461685180664,56.39445495605469,59.63020324707031,88.1355972290039,87.5192642211914,70.21282730102538
25,25.0,92.61538696289062,89.21417999267578,94.60709381103516,88.44376373291016,91.8335952758789,91.34280395507812
26,26.0,55.846153259277344,54.69953918457031,46.68721389770508,54.23728942871094,75.1926040649414,57.332559967041014
27,27.0,94.0,89.9845962524414,91.37134552001953,92.91217803955078,84.89984893798828,90.63359375
28,28.0,84.46154022216797,87.05701446533203,88.90601348876953,67.79661560058594,86.2865982055664,82.90155639648438
29,29.0,53.69230651855469,56.08628845214844,58.70570373535156,55.31587219238281,46.53313064575195,54.06666030883789
30,30.0,53.53845977783203,59.93836975097656,56.39445495605469,78.12018585205078,80.7396011352539,65.7462142944336
31,31.0,55.38461685180664,55.31587219238281,53.31278991699219,54.69953918457031,59.78428649902344,55.69942092895508
32,32.0,89.53845977783203,88.7519302368164,79.35285186767578,88.1355972290039,89.67642974853516,87.09105377197265
33,33.0,56.0,66.71803283691406,50.23112487792969,55.93220520019531,56.54853820800781,57.08598022460937
34,34.0,55.69230651855469,88.44376373291016,78.42835235595703,85.97843170166016,82.43451690673828,78.19547424316406
35,35.0,92.76923370361328,93.52851104736328,90.29276275634766,92.60401153564453,89.67642974853516,91.77418975830078
36,36.0,54.153846740722656,63.63636779785156,77.50385284423828,54.85362243652344,46.68721389770508,59.366980743408206
37,37.0,50.92307662963867,93.83667755126953,89.52234649658203,63.17411804199219,91.67951202392578,77.82714614868163
38,38.0,88.0,89.9845962524414,90.90909576416016,89.3682632446289,88.59784698486328,89.37196044921875
39,39.0,87.53845977783203,90.90909576416016,88.1355972290039,88.1355972290039,88.59784698486328,88.66331939697265
40,40.0,90.0,91.67951202392578,93.6825942993164,86.13251495361328,88.90601348876953,90.080126953125
41,41.0,87.23076629638672,91.67951202392578,90.90909576416016,94.14484405517578,93.22034454345703,91.4369125366211
42,42.0,74.61538696289062,81.66410064697266,53.31278991699219,85.6702651977539,56.08628845214844,70.26976623535157
43,43.0,82.30769348144531,55.00770568847656,81.51001739501953,54.39137268066406,86.59476470947266,71.96231079101562
44,44.0,68.0,56.39445495605469,85.20801544189453,81.04776763916016,82.5886001586914,74.64776763916015
