,hpoID,Loss_cv1,Loss_cv2,Loss_cv3,Loss_cv4,Loss_cv5,Loss_cv_Avg
0,0.0,0.26515981554985046,0.3331930935382843,0.23709756135940552,0.3725772202014923,0.237963005900383,0.28919813930988314
1,1.0,0.47750282287597656,0.29492491483688354,0.46536821126937866,0.4974581003189087,0.3751703202724457,0.4220848739147186
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,18.0,0.359788179397583,0.31171348690986633,0.2583155930042267,0.39494985342025757,0.25779181718826294,0.3165117859840393
19,19.0,0.6834388971328735,0.6399431824684143,0.6562489867210388,0.5962811708450317,0.6446556448936462,0.6441135764122009
20,20.0,0.44971415400505066,0.5859299898147583,0.5898496508598328,0.5571909546852112,0.48814406991004944,0.5341657638549805
21,21.0,0.7090832591056824,0.7241015434265137,0.7029123902320862,0.6958479881286621,0.6965156197547913,0.7056921601295472
22,22.0,0.35358744859695435,0.37152159214019775,0.31631138920783997,0.4121812880039215,0.42369475960731506,0.37545929551124574
23,23.0,0.46713346242904663,0.5962170362472534,0.5242745280265808,0.5053950548171997,0.5645718574523926,0.5315183877944947
24,24.0,0.6681343913078308,0.6835382580757141,0.6477500200271606,0.5958653092384338,0.543718695640564,0.6278013348579407
25,25.0,0.41290542483329773,0.3385181128978729,0.3254276514053345,0.33110174536705017,0.30325525999069214,0.3422416388988495
26,26.0,0.7265435457229614,0.6999528408050537,0.6986564993858337,0.7320752143859863,0.6804750561714172,0.7075406312942505
27,27.0,0.26640933752059937,0.29576432704925537,0.3404775559902191,0.3751432001590729,0.3503701984882355,0.32563292384147646
28,28.0,0.6643182039260864,0.6206550598144531,0.5737821459770203,0.6583620309829712,0.606930136680603,0.6248095154762268
29,29.0,0.7265510559082031,0.7180438041687012,0.6889607906341553,0.7184612154960632,0.6775221228599548,0.7059077978134155
30,30.0,0.751763641834259,0.6983698010444641,0.7113945484161377,0.6758003234863281,0.6691589951515198,0.7012974619865417
