hpoID,Batch_Size,lr,Dropout_Rate,Weight_Decay_Beta1,Epsilon,FC_Size
0,64,0.0003,0.5,0.95,1e-08,128
1,256,3e-05,0.7,0.95,1e-08,256
2,64,0.0003,0.5,0.95,1.0,64
3,192,0.0003,0.7,0.95,0.1,256
4,64,3e-05,0.3,0.9,0.1,256
5,128,0.0003,0.7,0.95,0.1,64
6,64,3e-06,0.7,0.95,1.0,192
7,128,0.0003,0.3,0.9,1e-08,192
8,64,3e-05,0.5,0.95,1e-08,256
9,256,0.0003,0.5,0.9,0.1,128
10,256,3e-06,0.5,0.8,1e-08,128
11,64,3e-05,0.5,0.9,0.1,64
12,64,3e-06,0.7,0.8,1.0,192
13,256,3e-05,0.7,0.95,1e-08,64
14,128,3e-06,0.3,0.8,1e-08,64
15,192,3e-06,0.5,0.8,0.1,64
16,256,3e-06,0.3,0.9,0.1,256
17,64,3e-05,0.7,0.8,0.1,192
18,128,0.0003,0.3,0.9,1e-08,128
19,128,3e-05,0.5,0.9,0.1,64
20,256,0.0003,0.5,0.9,0.1,64
21,256,3e-06,0.7,0.9,0.1,64
22,128,3e-05,0.3,0.8,1e-08,192
23,64,3e-06,0.3,0.95,1e-08,256
24,128,0.0003,0.7,0.95,1.0,256
25,64,0.0003,0.7,0.95,0.1,64
26,128,3e-05,0.5,0.95,1.0,64
27,128,0.0003,0.3,0.9,0.1,64
28,128,3e-05,0.3,0.8,0.1,128
29,256,3e-06,0.3,0.95,0.1,192
30,256,3e-06,0.7,0.8,0.1,256
31,192,3e-06,0.7,0.8,1.0,256
32,64,3e-06,0.5,0.95,1e-08,64
33,256,3e-06,0.7,0.9,1.0,64
34,192,3e-06,0.3,0.8,1e-08,64
35,64,0.0003,0.5,0.95,1e-08,64
36,64,3e-05,0.7,0.9,1.0,256
37,64,0.0003,0.5,0.95,1e-08,192
38,256,0.0003,0.3,0.8,0.1,192
39,64,0.0003,0.5,0.8,1.0,256
40,64,0.0003,0.5,0.9,1e-08,128
41,128,0.0003,0.3,0.9,1e-08,128
42,192,3e-05,0.7,0.9,0.1,128
43,192,3e-05,0.5,0.8,0.1,128
44,192,0.0003,0.5,0.9,1.0,128
45,128,3e-05,0.7,0.95,1e-08,256
46,128,3e-05,0.5,0.9,0.1,256
47,192,3e-05,0.3,0.8,1e-08,64
48,128,3e-06,0.5,0.95,0.1,256
49,64,3e-05,0.7,0.95,1.0,192
50,64,3e-05,0.5,0.95,1.0,64
51,128,3e-05,0.5,0.9,1.0,192
52,256,0.0003,0.7,0.95,1e-08,64
53,256,0.0003,0.5,0.95,1.0,192
54,256,0.0003,0.5,0.95,1.0,256
55,128,3e-06,0.7,0.8,1e-08,128
56,64,3e-05,0.3,0.95,1e-08,128
57,192,3e-06,0.7,0.9,1e-08,256
58,64,0.0003,0.3,0.95,1.0,256
59,192,3e-06,0.3,0.9,1.0,256
60,256,3e-06,0.5,0.8,0.1,64
61,128,3e-06,0.7,0.8,1e-08,64
62,128,3e-06,0.7,0.8,0.1,256
63,256,3e-05,0.5,0.8,1e-08,256
64,128,3e-05,0.5,0.95,1.0,128
65,256,3e-06,0.7,0.9,1e-08,256
66,256,3e-06,0.3,0.95,0.1,192
67,256,0.0003,0.3,0.95,1e-08,128
68,256,3e-06,0.7,0.9,1.0,256
69,128,3e-06,0.3,0.9,1.0,256
70,64,3e-05,0.3,0.9,0.1,256
71,64,3e-06,0.5,0.95,1.0,192
72,128,3e-05,0.5,0.8,0.1,128
73,256,3e-05,0.7,0.8,1.0,128
74,128,0.0003,0.3,0.9,0.1,64
75,192,3e-05,0.3,0.8,1e-08,128
76,256,3e-06,0.7,0.95,1e-08,256
77,64,3e-05,0.5,0.8,1.0,256
78,256,3e-05,0.7,0.9,1.0,64
79,256,3e-06,0.3,0.8,0.1,256
80,64,0.0003,0.5,0.9,0.1,64
81,128,3e-05,0.5,0.8,0.1,256
82,256,3e-06,0.5,0.8,0.1,192
83,128,3e-06,0.7,0.95,0.1,192
84,64,3e-06,0.5,0.9,1.0,128
85,64,0.0003,0.5,0.8,0.1,192
86,128,3e-06,0.5,0.95,1.0,128
87,192,0.0003,0.5,0.95,0.1,192
88,64,0.0003,0.7,0.95,1e-08,64
89,64,3e-05,0.3,0.8,0.1,128
90,256,0.0003,0.5,0.8,1e-08,128
91,128,0.0003,0.7,0.95,1.0,64
92,128,3e-06,0.7,0.9,1e-08,64
93,128,3e-05,0.5,0.9,1e-08,128
